100 500
-62 19 5
-88 -4 -30
-42 -100 56
-96 85 50
-43 91 69
-80 -97 -68
-53 28 46
-82 9 -27
-26 5 -68
-67 -57 -21
22 -88 93
-59 -44 43
98 -30 34
19 5 -43
34 1 -74
47 94 -18
-44 33 36
18 -92 -22
6 -16 -5
26 22 90
-11 -9 51
65 26 -95
38 -19 -22
60 88 -50
23 -98 27
56 -29 -68
-24 5 -81
-49 -35 -9
-88 78 50
-84 77 78
-52 46 41
41 -8 -20
24 68 -34
63 66 40
-63 -8 83
-3 32 67
39 98 51
-96 -68 29
1 23 -51
30 62 -16
-60 52 -63
75 -47 91
25 -75 -15
-14 -3 -58
-7 -9 48
-14 -1 -36
-23 5 19
-31 -42 76
-42 68 7
49 55 -79
32 86 1
-26 -11 58
15 -97 70
77 15 95
72 -73 100
50 35 -82
-52 56 -36
15 -34 40
-59 -68 96
2 78 -73
-81 -1 -86
66 -29 91
60 56 -19
58 99 -6
-17 78 89
16 -69 31
-20 53 -57
-42 -24 -59
9 -80 -77
97 -33 -67
-35 45 -64
3 -24 -22
81 50 54
-3 -35 -64
98 -8 74
7 38 16
16 -7 -9
-29 97 36
-41 -68 4
-21 -64 -4
38 83 -94
8 89 -26
90 53 -36
-55 -81 -31
-89 -36 93
32 42 -41
65 62 -31
25 -2 -52
-46 34 98
95 54 77
78 51 18
69 85 25
75 -97 52
78 85 -61
-75 89 34
24 -82 88
17 8 79
-43 30 56
38 -16 29
-92 -98 78
-16 87 -86
1 -21 88
-69 -93 41
-43 -75 -46
-10 -58 93
68 -100 -93
-76 21 -39
46 31 -15
5 -64 -62
74 -84 42
20 -51 58
-91 66 64
-64 -97 -5
-18 -83 1
-50 -58 45
55 21 -48
-69 -40 99
42 33 84
-50 -62 -88
-55 33 -22
74 24 60
-87 28 38
99 -10 -92
10 46 -40
66 -4 -94
-63 -32 -74
87 -18 -93
43 -89 -28
-72 -37 54
64 43 95
48 -64 -39
-21 100 -40
26 -98 24
-89 78 45
96 -22 10
95 29 45
61 47 68
-38 -39 79
12 -29 -6
92 -36 13
73 40 3
-40 8 44
89 -99 97
-54 -39 12
-56 12 29
93 77 13
-70 -50 80
-67 -16 -61
-17 -79 -86
-35 90 -79
-44 -91 37
35 51 -91
-62 -21 18
-90 28 -75
-90 -32 39
11 -74 -24
91 77 -14
-86 22 62
-92 68 -40
89 44 -88
17 -62 -14
-30 79 75
12 84 23
-62 4 45
-27 -84 42
46 27 7
30 -32 63
-84 61 -28
-42 11 91
-25 28 100
72 44 10
-25 6 79
-91 16 -95
28 92 81
-80 -83 -64
64 89 -26
-7 -51 49
3 71 -62
-15 88 -21
22 -96 92
-2 -10 46
-63 30 -79
30 90 8
74 92 76
10 -35 -29
-14 -63 87
-23 46 27
-70 -2 -91
-24 -68 -47
-76 -74 15
-83 -48 -26
16 4 18
-75 22 67
