100 1500
-38 -2 31
-42 60 14
-69 -25 59
26 -96 53
39 15 8
80 -10 37
73 49 -75
83 -97 -16
29 -25 56
21 -79 -78
99 78 21
22 -66 60
22 -7 -69
26 25 48
88 47 -62
77 -53 58
94 -31 92
87 -10 94
-24 -72 -100
-83 29 -14
9 -47 83
7 63 -17
-12 -63 -50
47 75 32
12 -72 -77
75 1 -54
56 -83 -86
-53 79 -68
44 -56 23
6 -13 39
-17 -10 -80
-37 42 63
12 14 -46
-72 -91 90
71 60 -10
23 -87 -96
46 -22 -81
90 -73 -38
-98 -58 72
5 -29 12
10 13 80
85 61 -50
10 -2 -21
-14 -38 100
-68 -64 -66
-24 -13 63
24 -92 -29
78 -61 77
-19 39 -90
-69 -11 85
-59 95 -11
-44 96 43
-6 19 33
64 -78 82
37 -68 -5
-63 -99 65
26 17 56
21 96 -54
26 30 60
19 -24 46
98 -95 -16
88 96 81
-61 -1 -57
-47 55 -49
-47 -74 37
-28 -56 26
17 -25 86
74 -47 12
36 -21 2
-32 -78 -84
21 -68 -58
-35 -79 83
47 -57 -15
-46 13 -19
-34 -43 20
-91 93 37
95 -6 71
-94 49 27
-52 -33 -57
3 -42 -75
-75 -23 -55
18 -49 84
-91 -10 -57
-20 97 55
-51 -83 39
-4 52 -48
-49 55 21
-75 83 18
-100 62 -63
39 100 -76
-59 -67 100
1 5 71
71 25 96
97 3 -60
-88 -22 -8
8 -72 62
-58 -75 7
56 -25 73
73 -41 50
-31 39 48
55 58 -87
67 -10 -92
-17 31 -1
-25 -11 56
-51 -94 -13
-68 -57 -69
-70 -81 -20
-71 95 -73
-85 90 -37
23 6 -96
13 5 81
-19 -44 40
-82 60 89
11 -89 85
-60 -69 -74
6 -81 -1
67 -20 86
17 -61 -48
3 -16 31
79 -61 -38
-74 -40 -51
25 49 4
35 29 63
-68 54 -76
-74 -23 -68
-36 -4 87
8 -51 99
-75 -64 65
98 -1 -14
-33 72 60
-82 18 27
-57 20 -14
-79 -45 5
4 70 -33
49 34 -61
67 36 -38
55 60 14
-65 60 40
33 -17 89
35 7 31
38 78 -72
42 -56 95
82 48 -87
37 -44 12
-83 -26 98
71 31 6
-51 21 -64
-39 -4 -1
68 16 -45
-83 -79 -14
-76 -10 15
3 74 1
37 48 71
16 -44 22
83 -90 -4
19 -42 67
43 78 -90
11 -28 68
-70 -33 -21
-5 75 -99
37 -32 -56
-83 88 13
84 5 3
-9 -54 -27
87 31 -76
24 -15 -54
88 18 17
-69 -88 9
-1 73 45
-50 80 89
7 -85 -13
60 9 -62
58 -54 -79
-17 13 -33
51 29 -14
52 8 -87
-42 -78 -3
-5 7 12
67 -55 29
54 -34 -17
-60 -72 -56
-77 42 -63
-92 28 69
-68 23 78
-43 10 89
-20 -74 65
25 -30 -47
-69 57 27
-28 24 -65
-60 -36 19
18 -59 96
-85 -17 -36
-23 54 -88
7 47 -3
18 -83 54
-10 -82 -33
-86 1 -25
13 -32 -14
60 -12 -38
-44 42 -67
12 -98 100
33 39 -68
46 54 28
-22 -38 -78
3 14 -42
92 87 3
7 51 79
-61 -16 -92
1 4 77
-32 98 77
-19 -77 -87
58 -89 -35
79 -21 56
32 54 -22
24 -61 -43
-38 -46 -31
49 -9 96
77 -64 -91
19 5 45
6 88 23
30 -48 -91
43 55 80
34 77 88
-76 -59 -63
-4 27 20
-40 -26 81
26 -25 47
-75 -82 -21
43 24 62
-72 -1 -73
-45 -35 85
-75 -18 -100
68 -21 -47
-79 40 -80
-13 -70 59
-64 -98 -7
12 -15 51
41 73 -60
-6 15 18
-22 -68 12
32 -56 -64
-74 -33 -49
-11 46 56
12 -82 11
-3 80 33
-65 -11 13
7 48 -61
-84 -85 -15
-4 41 25
93 -28 15
-7 82 66
-92 -12 22
59 23 -35
97 -78 82
-21 24 51
-56 -59 -67
-69 -76 -33
4 -37 93
94 69 -64
63 15 -18
-18 99 -15
43 29 -79
-9 42 -19
-11 55 61
62 -19 74
61 -3 84
83 6 51
-60 43 -57
13 -25 -26
30 17 71
69 87 61
-37 -76 -56
52 76 -100
32 -48 -84
13 12 -44
-16 78 -68
73 -97 98
33 31 -52
54 16 52
-23 -9 -77
-80 -46 18
39 94 13
62 31 -56
-76 33 38
41 -15 -94
57 40 72
-18 65 -61
14 26 80
86 78 92
-6 -45 -46
19 -80 -58
98 87 -49
-1 7 73
-31 -3 10
-66 -15 24
28 19 -11
72 -93 -12
75 -12 -85
-10 34 38
96 89 -55
25 10 -39
91 9 -74
12 44 75
-71 -50 54
-37 10 18
83 -15 90
-65 -97 69
-29 -80 -11
78 98 81
-23 -92 21
6 -42 -29
40 -39 -30
32 69 64
36 48 -19
-45 -22 -65
-27 -43 -64
88 90 -59
57 -22 61
-54 -3 97
-58 -79 -72
84 91 36
-37 11 93
67 -80 38
31 -3 -100
-82 19 -6
-85 -70 -73
-22 -80 -9
27 92 6
-34 -45 -82
-89 -22 92
-31 -42 -79
26 19 -63
97 -12 96
-69 50 12
53 26 -27
-18 -79 -13
34 -46 -73
-67 -38 40
96 -40 -88
77 90 -65
61 -47 -63
69 -59 -90
53 -65 8
-4 22 41
-37 74 56
-73 -82 34
-20 -53 -9
-54 88 40
65 -68 -20
-31 -67 -69
-12 -69 4
-73 56 -11
-4 91 -69
99 -71 -65
52 -50 -60
25 12 -78
-92 50 -48
87 -53 85
-21 -22 -13
-81 84 -1
-35 27 43
55 52 96
37 87 -23
25 96 38
31 3 -36
63 -26 45
-93 43 82
-23 68 -32
-98 -47 -16
-58 36 74
36 49 89
8 -15 -69
92 18 96
94 -77 30
30 42 13
76 -8 71
45 -22 85
-53 -63 -95
63 -57 10
-40 84 77
41 82 -57
54 -6 -73
-99 -97 -1
49 -88 81
-60 -82 52
-33 17 100
47 -75 -58
30 55 64
-62 -34 -63
94 -66 -79
85 97 23
-55 61 43
-87 23 47
-95 99 -87
-38 -93 -23
-96 -62 70
94 90 -69
-62 33 18
24 -29 7
-72 -36 54
78 42 -50
23 71 -48
41 -67 15
18 39 -85
8 55 -60
-75 -2 42
33 11 -3
-60 -99 92
73 -45 50
-92 47 98
73 90 -20
-44 42 72
-82 13 -63
-43 -76 56
-3 8 2
89 4 -91
-43 63 -86
67 -56 39
-1 -33 3
53 98 -16
-32 91 -83
-72 93 81
91 -83 37
-65 67 43
-33 -98 27
-74 -52 -49
-19 -78 -12
-70 -42 -10
-22 -70 11
69 -18 95
1 -31 69
5 -51 79
30 78 -84
-27 29 75
-12 26 -95
-64 92 26
-28 -78 -68
-3 46 65
9 99 -31
-53 -83 42
87 54 -3
-100 12 61
-12 -64 -7
-61 -38 -3
86 -83 54
-99 42 84
-30 -83 76
-26 48 17
83 46 -82
-13 -7 -97
75 2 -53
-21 -66 77
-67 -29 -7
-96 -80 -20
-43 100 45
46 -87 -52
-80 -15 -89
29 7 -17
8 -81 47
-8 -66 92
100 63 -22
-37 -69 -76
-17 -36 -23
22 -54 19
-31 -90 25
63 53 78
-40 -94 9
90 12 96
94 -47 -27
-92 -83 -30
50 86 80
-100 -35 87
14 74 69
-26 -46 21
-38 49 -89
-26 -40 91
-90 -96 6
-99 -92 -28
-72 -89 59
10 -97 42
-47 59 -90
30 64 -51
12 25 6
35 -32 45
-25 -26 82
1 -91 63
7 -74 3
-60 -8 -17
-80 88 -60
68 79 28
-8 -26 36
39 -2 47
-9 -33 20
50 91 -98
64 79 -75
-94 72 51
-17 14 -8
12 -43 16
48 -80 -22
-12 -32 -64
-63 50 7
53 42 -64
4 36 -68
-81 58 14
71 -92 -68
-39 25 -50
48 46 -34
82 -70 -95
72 8 -43
54 -32 43
-54 35 18
-96 -2 -39
69 23 17
-16 -27 -93
22 -12 -98
-100 80 -51
71 -36 34
67 79 -19
3 -34 24
-24 40 -92
32 81 -83
24 -77 -74
63 -27 -82
-43 -41 -87
-79 38 21
-26 -71 -25
97 -53 -28
97 -82 -36
-40 -69 -48
60 72 53
42 -50 57
74 43 -1
19 78 -76
96 6 -76
1 17 60
22 -33 65
51 13 -70
-21 -51 -18
-100 -26 77
-96 -37 -89
-10 21 44
-20 -80 65
75 -51 -4
-100 96 28
52 -31 -6
-51 3 -78
19 99 -6
-56 -12 92
62 -91 15
-88 -14 -71
-94 34 59
-62 -84 94
1 61 42
-56 -18 -27
84 -100 -49
68 -5 17
-29 19 61
80 5 -100
55 -75 -64
-80 33 4
-40 -82 2
94 70 -38
19 29 -99
-86 88 -92
-33 -41 -44
-58 -95 -60
-15 -56 -81
24 26 -88
-90 18 -27
54 5 -83
83 54 -58
29 44 -88
-21 -85 53
-50 -51 -99
96 -40 -5
-27 14 67
-96 -9 53
-29 46 -40
-16 44 6
40 36 72
45 -5 51
75 -24 7
-65 52 22
29 35 -7
-77 96 -34
42 -100 96
-58 -40 -94
47 51 -75
-87 59 -16
-6 42 3
-63 -1 -29
53 26 -40
83 -43 10
-36 -7 98
51 55 -8
-12 64 88
75 -47 -61
-83 49 51
-71 60 89
77 91 -20
-67 -14 -9
-85 71 5
53 88 -13
-60 89 18
68 -33 18
-13 48 95
-50 -81 -5
88 68 -65
42 16 -34
-52 48 -70
-38 -18 29
61 21 -41
5 99 -32
25 39 -38
19 81 -99
14 -53 -88
5 96 -93
-50 82 -78
-10 -4 75
84 32 -81
-32 92 -100
14 -56 62
-72 -50 -67
-5 90 -14
-44 45 -81
48 31 24
6 67 69
68 51 -29
27 -51 21
-60 -90 -53
89 52 -37
-75 9 62
-9 -42 44
-57 1 14
-27 94 -91
41 -32 85
-7 -92 -94
44 34 -21
-95 -75 -40
-19 -65 76
-22 -48 76
-45 -71 56
58 -90 -16
-7 88 -59
51 17 20
92 74 -22
-96 52 -23
73 -44 -19
63 61 -92
35 -46 -98
-13 -32 -81
-11 -67 47
-86 -6 22
8 58 69
64 -75 93
33 38 -23
87 -57 -29
99 -53 73
-34 96 -22
50 74 47
47 70 30
-43 89 54
69 84 61
15 25 -48
-89 35 -93
-15 -25 -98
97 71 69
39 -11 -67
73 88 90
-43 -98 -87
87 -52 41
68 -27 66
-61 29 -3
-44 14 62
68 53 -10
-74 -54 97
-52 40 61
-74 53 -8
64 82 -12
78 30 41
63 32 -85
-64 -89 -56
34 -59 -100
-44 28 46
45 1 88
48 7 -44
-42 -68 -55
-3 -83 97
68 93 62
84 -62 -29
97 66 -83
83 -59 -37
66 53 -32
13 2 -37
7 -29 20
52 -35 -65
34 67 91
51 53 26
22 31 -71
3 1 38
79 -29 -27
-9 75 -30
-82 -55 43
-96 -16 81
72 -34 -98
21 95 84
-40 3 6
-74 -83 11
-14 -28 -1
-76 1 -82
67 86 -70
58 -33 42
-56 -32 -53
-98 -52 94
-93 2 -98
47 34 78
63 -58 5
56 19 -35
-49 92 -13
-69 97 90
-97 76 -58
-71 16 9
-38 -93 4
-73 -9 -60
-93 -63 -94
64 -82 18
-100 51 90
58 96 49
49 70 63
6 -17 82
17 24 -77
-81 -99 6
54 88 28
-10 51 79
-21 27 64
34 28 -12
-42 -91 38
63 -5 -43
18 82 -29
34 18 26
-92 48 -24
42 -67 -92
52 95 100
61 12 74
-10 38 9
95 84 -54
-39 49 11
13 36 57
-71 -34 -56
-52 99 16
-18 72 41
71 -29 41
43 -3 -30
94 -76 46
-5 -75 -71
56 -25 -47
57 -43 -77
-83 23 -4
-51 -35 -38
52 -60 36
78 -76 -27
-77 11 62
-20 -52 -58
-20 82 -32
-45 1 -75
70 99 -9
-68 33 24
-3 85 20
-58 94 -97
-73 -24 33
-69 -8 -78
82 -23 -85
-33 -5 -30
56 53 -67
-89 -73 -57
97 35 14
-17 -58 92
63 -54 -18
70 10 -88
-52 -37 -81
47 36 49
-12 -2 44
27 -30 99
-2 -18 43
-97 57 24
33 22 46
-75 10 -11
81 62 -5
87 2 85
-95 6 57
65 -96 -30
12 -17 58
-4 -25 -31
61 44 11
65 96 -36
-43 48 -34
-62 -14 76
-14 -47 29
-44 30 -84
87 -14 21
61 -16 89
25 -4 99
64 -49 89
-33 8 83
-12 10 38
-90 -7 -6
31 35 55
9 3 -42
69 61 42
28 -50 -44
-44 1 100
77 -11 -41
-43 21 -84
-10 76 -95
-74 -52 -61
-8 -62 44
-91 -4 75
35 27 37
-99 74 -21
91 80 -22
-60 64 -30
43 -13 98
79 70 77
-59 -47 24
-82 37 99
-93 -51 -62
-87 -95 -57
-46 3 -45
-23 75 94
53 -60 -40
3 -52 -18
14 -71 35
-74 11 -81
-75 -45 -96
-79 66 69
2 -18 58
-64 -98 28
-5 2 -74
29 23 35
-57 97 58
-8 73 -14
17 -93 100
26 -78 54
-25 -81 -11
91 -18 77
8 -16 -34
-65 -68 55
-19 -16 99
3 -32 39
85 -52 65
-39 -92 -4
-74 -35 -61
-46 78 67
-99 -86 54
93 44 55
-95 45 -93
72 -83 19
96 -14 -17
-21 -59 26
37 62 93
-76 70 17
79 2 54
22 88 97
66 -72 12
27 74 -2
10 -38 32
-55 90 -24
-69 -47 -16
-18 -23 20
21 -12 -45
-92 27 38
-43 42 50
-31 -48 -87
53 -45 -6
81 -54 53
-35 19 39
17 47 -50
86 -23 -19
99 -19 67
82 -30 -59
-22 -1 44
94 18 -68
92 -45 75
-99 80 -62
13 44 36
16 -36 -47
-20 46 -45
-92 42 45
-28 31 9
-17 82 -78
10 -23 -42
-9 66 14
41 54 -30
38 -18 25
38 -62 78
-24 -16 47
-64 -23 45
-65 -96 -27
19 -62 43
53 -23 18
-57 -96 -8
42 93 78
-88 -55 1
59 6 -18
25 -29 -42
-7 -93 -84
20 -58 -3
63 -100 60
75 -27 -12
-32 -37 -29
-63 -79 85
7 -43 33
61 16 -92
94 89 70
-99 -84 -70
-18 -16 9
2 13 55
87 -24 -39
-84 16 -33
40 24 -84
-70 39 53
-7 -6 -41
-24 37 -88
-25 15 95
-38 61 85
71 44 -70
-63 82 55
54 -28 -96
-20 65 36
-32 -26 -67
-44 2 4
51 66 21
46 -10 91
-7 -8 -1
42 -49 -67
43 3 54
-21 -77 -66
-32 78 65
43 41 -17
-48 100 75
-16 -10 -81
-32 17 81
4 -65 -62
-71 54 -16
97 9 75
-5 -46 -7
-47 41 87
-61 39 -16
2 -40 12
-75 -74 82
59 -13 54
72 -89 87
34 95 -35
-79 -4 90
-30 33 -77
80 69 32
61 32 51
-60 -95 51
94 -73 -21
-45 74 54
85 92 -59
88 47 60
79 -75 12
-12 -27 62
-10 61 -35
13 73 16
27 85 -61
2 73 48
-93 -60 -7
50 87 -70
93 34 49
82 -44 6
73 49 8
-71 -45 -55
-22 45 66
-3 80 -86
-91 86 98
-100 -97 -1
67 -8 3
66 -43 72
69 -89 -3
37 35 51
-94 57 -70
-12 -24 31
12 21 62
-11 75 85
-44 -41 -26
-68 97 12
-17 84 -33
-83 91 42
29 97 55
92 39 -43
69 30 50
-66 -28 -27
-13 -93 -65
-87 -82 -63
-93 62 -85
51 69 44
70 53 8
43 95 -39
16 80 48
-35 28 58
-88 -54 -28
-26 50 -45
-77 -26 15
-72 -51 75
-30 -20 -90
16 -2 -65
75 -77 -96
47 -66 -15
-22 85 -66
-91 98 -96
-50 33 -94
88 -59 70
41 64 -73
-11 -44 25
78 -47 -52
-70 -71 33
-44 90 71
100 22 -64
82 69 97
-55 91 -43
-22 3 78
1 -82 -76
39 -99 16
-5 -83 -77
-28 -61 -54
-92 -67 -53
95 -18 -55
44 -65 21
98 28 73
-18 26 -55
-56 -24 -32
93 -89 36
33 17 1
65 5 52
38 97 -53
76 -38 60
-35 20 -54
-47 4 -61
99 39 24
32 -93 26
57 -70 83
-23 -31 52
-6 5 30
-72 -58 -42
-28 -84 -17
21 50 47
-75 18 -70
84 -58 45
-50 31 -74
66 3 71
-3 -64 11
-17 5 -84
-49 -33 -75
41 100 -8
-45 70 -2
50 40 -11
67 59 81
84 92 26
79 15 35
-78 70 -39
-51 77 20
81 -27 43
-20 -4 21
-30 -55 -86
-46 75 -33
-8 -58 -63
-84 47 55
90 94 43
74 18 -37
-42 97 13
46 -93 11
-73 -69 -5
85 54 77
-63 86 41
89 91 -37
98 -28 88
32 -16 33
-96 -65 -45
19 77 -6
-44 37 -41
-11 -34 -3
-40 44 -59
-40 -16 -83
-60 -70 30
18 69 46
74 -17 65
48 -35 86
-41 4 99
-81 -7 13
25 -23 48
6 2 45
81 -49 -61
-14 -100 4
83 76 -13
91 59 -95
-25 62 -67
-82 -99 -56
-99 79 -84
39 -54 -91
-3 66 20
-62 -12 -22
-41 20 60
11 -14 -87
-71 -52 -39
-5 -16 -100
-59 53 -47
63 71 77
49 -3 28
81 95 -24
-85 5 37
-77 -86 73
-42 -55 -94
74 -54 20
-66 -36 19
-70 5 -67
-2 72 -53
78 89 63
4 -76 -68
62 -100 -64
77 58 -74
55 -4 -28
16 -83 -95
66 -57 35
39 -30 86
100 22 -43
53 -93 -51
-99 -83 -56
-74 -23 -6
79 66 -96
38 -53 56
37 -99 -49
-54 20 24
70 60 67
95 59 87
-13 -38 29
9 -83 66
-20 -95 -43
31 40 10
91 12 -96
-82 -24 66
83 -74 27
65 86 20
-88 -90 57
-91 -43 -10
61 53 -15
27 -19 -36
26 -3 69
1 -95 2
-48 -44 -69
-84 -10 94
-26 -95 35
-28 -79 34
89 -20 85
7 -4 -61
-80 16 -12
-37 -92 -12
48 36 -33
-12 -60 67
65 -23 66
-26 33 -29
11 10 49
-30 92 84
5 -21 -64
-64 -95 -45
3 -39 -40
80 42 85
79 -32 -20
-56 71 -67
27 -5 92
-18 50 -37
54 85 67
58 53 -2
-86 -36 78
24 46 -96
-30 -89 19
85 76 -36
19 51 -61
-53 -44 84
30 86 -17
91 10 -68
-76 47 58
-97 -87 -9
9 11 -79
47 -76 96
46 49 97
-84 -3 -88
-85 -21 -91
53 7 16
84 1 42
-57 -40 -30
-6 74 -86
-35 -42 -56
-60 63 80
98 14 5
10 13 27
-44 -36 -1
94 -56 31
96 -42 30
-84 -63 80
59 77 -26
-1 -24 99
33 -90 9
-15 80 5
-20 76 -24
72 -26 -19
-97 6 75
38 89 -9
-11 63 87
-9 17 -94
79 2 -78
53 14 45
-21 24 38
-46 -81 54
-23 -43 36
-64 6 19
53 -46 14
28 60 -56
-61 21 66
-15 -75 87
33 100 -97
-55 -40 -90
-38 -27 4
17 -13 -10
-2 47 -94
52 28 -82
-51 -73 -70
78 80 27
6 -88 -24
51 55 30
89 39 62
-27 -43 3
-25 -32 22
33 18 -92
-39 -96 -30
-22 -91 -87
-97 -39 96
-53 76 -25
-48 72 38
79 30 93
-34 38 28
-63 18 14
62 15 29
44 -43 83
89 42 -24
91 -78 -92
-46 -91 22
16 -38 -12
40 75 86
-76 65 46
72 21 84
-47 -18 -86
26 75 11
49 71 37
-41 22 -44
-91 58 36
57 -2 19
58 -55 -5
90 -50 -41 
